City,Fire,Crime
Alameda,5108818181,5105222423
Alamo,9258386691,9256462441
Albany,5105285770,5105257300
American Canyon,,7072530911
Antioch,9257571313,9257783911
Benicia,7077453411,7077453411
Berkeley,5109815911,5109815911
Blackhawk,9258386691,9256462441
Diablo,9258386691,9256462441
Brentwood,9257571313,9257782441
Castro  Valley,5108818181,5103512020
Clayton,9259331313,9256737350
Concord,9259331313,6713333
Crockett/Port Costa,9259331313,
Daly City,6509922313,6509921225
Danville,9258386691,9256677721
Davis,5307563400,5307583600
Dublin,9254476880,9256677721
El Cerrito,5102373231,5102331214
El Sobrante,9259331313,9256462441
Emeryville,,5105963737
Fairfield,7074287373,7074287373
Fremont,5108818181,5107906800
Hayward,5107322626,5102937000
Hercules,9259331313,5107241111
Kensington,5102373231,5102360474
Lafayette,9259331313,9252845010
Livermore,9254476880,9253714987
Manteca,,2094568101
Martinez,9259331313,
Millbrae,6503451611,6506971212
Moraga,9259331313,9252845010
Napa,7079639636,7072579223
Newark,5107933737,5105784237
Novato,4158921511,4158971122
Oakland,5104441616,5107773211
Orinda,9259331313,9252845010
Pacifica,6503681421,6503554151
Piedmont,5104203000,5104203000
Pinole,5107241111,5107241111
Pittsburg,9257571313,9256462441
Pleasant Hill,9259331313,9256807000
Redwood City,6503693331,6503693331
Richmond,5102335223,5102331214
Riverside,9517877911,9517877911
Rodeo,9259331313,9256462441
Sacramento,9167320100,9167320100
San Bruno,6508778989,6507807100
San Carlos,6503681421,6505922222
San Francisco,4155538090,4082778911
San Leandro,5106382123,5106382123
San Lorenzo,5108818181,5103512020
San Mateo,,6505527700
San Pablo,5102234422,5102331214
San Rafael,,4154532424
San Ramon,9258386691,9259732779
Santa Cruz,8314711170,8314711170
South San Francisco,6508733333,
Stockton,2099377911,
Suisun City,7074216622,7074216622
Tracy,2098316550,
Union City,5108818181,5104711365
Vacaville,7074495200,7074495200
Vallejo,7075523285,7075523285
Walnut Creek,9259331313,9259356400
